AsOfDate,NDX Index,SPX Index,SPMARC5P Index
2024-01-08,16649.88,4763.54,362.53
2024-01-09,16678.71,4756.5,362.25
2024-01-10,16793.05,4783.45,362.47
2024-01-11,16820.9,4780.24,362.64
2024-01-12,16832.92,4783.83,364.02
2024-01-16,16830.71,4765.98,362.15
2024-01-17,16736.28,4739.21,360.48
2024-01-18,16982.29,4780.94,361.39
2024-01-19,17314.0,4839.81,362.48
2024-01-22,17330.38,4850.43,362.81
2024-01-23,17404.21,4864.6,362.82
2024-01-24,17499.3,4868.55,362.29
2024-01-25,17516.99,4894.16,363.13
2024-01-26,17421.01,4890.97,362.72
2024-01-29,17596.27,4927.93,364.12
2024-01-30,17476.71,4924.97,364.4
2024-01-31,17137.24,4845.65,364.45
2024-02-01,17344.71,4906.19,366.23
2024-02-02,17642.73,4958.61,365.0
2024-02-05,17613.04,4942.81,363.33
2024-02-06,17572.73,4954.23,364.36
2024-02-07,17755.07,4995.06,364.89
2024-02-08,17783.17,4997.91,364.33
2024-02-09,17962.4,5026.61,364.24
2024-02-12,17882.66,5021.84,364.07
2024-02-13,17600.42,4953.17,360.78
2024-02-14,17807.63,5000.62,361.88
2024-02-15,17845.72,5029.73,362.82
2024-02-16,17685.98,5005.57,362.38
2024-02-20,17546.1,4975.51,362.67
2024-02-21,17478.91,4981.8,362.23
2024-02-22,18004.7,5087.03,363.51
2024-02-23,17937.61,5088.8,364.63
2024-02-26,17933.33,5069.53,363.64
2024-02-27,17971.05,5078.18,363.84
2024-02-28,17874.5,5069.76,364.0
2024-02-29,18043.85,5096.27,364.95
2024-03-01,18302.91,5137.08,367.8
2024-03-04,18226.48,5130.95,368.52
2024-03-05,17897.87,5078.65,368.91
2024-03-06,18017.57,5104.76,370.02
2024-03-07,18297.99,5157.36,371.22
2024-03-08,18018.45,5123.69,371.48
2024-03-11,17951.69,5117.94,371.3
2024-03-12,18219.12,5175.27,370.89
2024-03-13,18068.47,5165.31,370.93
2024-03-14,18014.81,5150.48,369.35
2024-03-15,17808.25,5117.09,368.48
2024-03-18,17985.01,5149.42,368.69
2024-03-19,18032.21,5178.51,369.37
2024-03-20,18240.11,5224.62,370.48
2024-03-21,18320.38,5241.53,371.51
2024-03-22,18339.44,5234.18,370.99
2024-03-25,18277.06,5218.19,370.98
2024-03-26,18210.54,5203.58,370.95
2024-03-27,18280.84,5248.49,372.45
2024-03-28,18254.69,5254.35,373.33
2024-04-01,18293.2,5243.77,372.54
2024-04-02,18121.78,5205.81,372.47
2024-04-03,18160.19,5211.49,373.79
2024-04-04,17878.78,5147.21,372.95
2024-04-05,18108.46,5204.34,374.45
2024-04-08,18100.19,5202.39,373.98
2024-04-09,18169.9,5209.91,375.04
2024-04-10,18011.65,5160.64,371.57
2024-04-11,18307.98,5199.06,372.86
2024-04-12,18003.49,5123.41,372.41
2024-04-15,17706.83,5061.82,370.69
2024-04-16,17713.66,5051.41,371.01
2024-04-17,17493.62,5022.21,370.54
2024-04-18,17394.31,5011.12,370.1
2024-04-19,17037.65,4967.23,370.13
2024-04-22,17210.89,5010.6,368.61
2024-04-23,17471.47,5070.55,369.73
2024-04-24,17526.8,5071.63,369.16
2024-04-25,17430.5,5048.42,368.36
2024-04-26,17718.3,5099.96,369.67
2024-04-29,17782.72,5116.17,370.76
2024-04-30,17440.69,5035.69,366.99
2024-05-01,17318.55,5018.39,367.89
2024-05-02,17541.54,5064.2,368.77
2024-05-03,17890.8,5127.79,370.21
2024-05-06,18093.57,5180.74,371.54
2024-05-07,18091.45,5187.7,371.59
2024-05-08,18085.01,5187.67,371.3
2024-05-09,18113.46,5214.08,372.46
2024-05-10,18161.18,5222.68,373.03
2024-05-13,18198.61,5221.42,372.29
2024-05-14,18322.77,5246.68,373.45
2024-05-15,18596.65,5308.15,376.14
2024-05-16,18557.96,5297.1,375.42
2024-05-17,18546.23,5303.27,375.89
2024-05-20,18674.19,5308.13,376.32
2024-05-21,18713.8,5321.41,376.38
2024-05-22,18705.2,5307.01,375.08
2024-05-23,18623.39,5267.84,372.64
2024-05-24,18808.35,5304.72,373.09
2024-05-28,18869.44,5306.04,373.03
2024-05-29,18736.75,5266.95,371.39
2024-05-30,18538.66,5235.48,371.64
2024-05-31,18536.65,5277.51,372.11
2024-06-03,18600.97,5283.4,373.75
2024-06-04,18654.84,5291.34,373.95
2024-06-05,19035.05,5354.03,375.91
2024-06-06,19021.19,5352.96,376.34
2024-06-07,19000.95,5346.99,373.41
2024-06-10,19074.67,5360.79,373.34
2024-06-11,19210.18,5375.32,374.03
2024-06-12,19465.18,5421.03,376.14
2024-06-13,19576.92,5433.74,376.01
2024-06-14,19659.8,5431.6,376.75
2024-06-17,19902.75,5473.23,376.42
2024-06-18,19908.86,5487.03,377.43
2024-06-20,19752.3,5473.17,377.37
2024-06-21,19700.43,5464.62,376.38
2024-06-24,19474.62,5447.87,376.42
2024-06-25,19701.13,5469.3,376.53
2024-06-26,19751.05,5477.9,375.59
2024-06-27,19789.03,5482.87,376.43
2024-06-28,19682.87,5460.48,375.78
2024-07-01,19812.22,5475.09,374.91
2024-07-02,20011.89,5509.01,375.74
2024-07-03,20186.63,5537.02,377.81
2024-07-05,20391.97,5567.19,379.72
2024-07-08,20439.54,5572.85,378.99
2024-07-09,20453.02,5576.98,378.91
2024-07-10,20675.38,5633.91,380.26
2024-07-11,20211.36,5584.54,381.17
2024-07-12,20331.49,5615.35,381.7
2024-07-15,20386.88,5631.22,381.85
2024-07-16,20398.63,5667.2,383.77
2024-07-17,19799.14,5588.27,382.38
2024-07-18,19705.09,5544.59,381.26
2024-07-19,19522.62,5505.0,378.81
2024-07-22,19822.87,5564.41,379.46
2024-07-23,19754.34,5555.74,379.78
2024-07-24,19032.39,5427.13,377.77
2024-07-25,18830.58,5399.22,376.15
2024-07-26,19023.66,5459.1,378.09
2024-07-29,19059.49,5463.54,378.27
2024-07-30,18796.27,5436.44,378.72
2024-07-31,19362.43,5522.3,380.58
2024-08-01,18890.39,5446.68,381.04
2024-08-02,18440.85,5346.56,381.51
2024-08-05,17895.15,5186.33,378.8
2024-08-06,18077.92,5240.03,378.36
2024-08-07,17867.37,5199.5,377.33
2024-08-08,18413.82,5319.31,379.06
2024-08-09,18513.1,5344.16,379.92
2024-08-12,18542.03,5344.39,380.93
2024-08-13,19006.43,5434.43,382.42
2024-08-14,19022.68,5455.21,382.18
2024-08-15,19490.15,5543.22,382.34
2024-08-16,19508.52,5554.25,383.7
2024-08-19,19766.49,5608.25,384.47
2024-08-20,19719.82,5597.12,385.01
2024-08-21,19824.84,5620.85,385.63
2024-08-22,19491.84,5570.64,383.53
2024-08-23,19720.87,5634.61,385.5
2024-08-26,19516.44,5616.84,385.36
2024-08-27,19581.52,5625.8,385.29
2024-08-28,19350.78,5592.18,384.57
2024-08-29,19325.46,5591.96,384.82
2024-08-30,19574.64,5648.4,384.24
2024-09-03,18958.73,5528.93,383.39
2024-09-04,18921.4,5520.07,384.15
2024-09-05,18930.33,5503.41,384.66
2024-09-06,18421.31,5408.42,383.51
2024-09-09,18660.78,5471.05,384.46
2024-09-10,18829.14,5495.52,385.58
2024-09-11,19237.3,5554.13,386.02
2024-09-12,19423.07,5595.76,387.27
2024-09-13,19514.58,5626.02,388.75
2024-09-16,19423.06,5633.09,388.98
2024-09-17,19432.4,5634.58,388.29
2024-09-18,19344.49,5618.26,387.8
2024-09-19,19839.83,5713.64,388.75
2024-09-20,19791.49,5702.55,389.62
2024-09-23,19852.2,5718.57,389.82
2024-09-24,19944.84,5732.93,390.75
2024-09-25,19972.61,5722.26,390.32
2024-09-26,20115.54,5745.37,390.62
2024-09-27,20008.62,5738.17,390.37
2024-09-30,20060.69,5762.48,389.62
2024-10-01,19773.3,5708.75,390.52
2024-10-02,19802.58,5709.54,389.49
2024-10-03,19793.34,5699.94,388.72
2024-10-04,20035.02,5751.07,387.18
2024-10-07,19800.74,5695.94,385.76
2024-10-08,20107.78,5751.13,385.57
2024-10-09,20268.86,5792.04,385.38
2024-10-10,20241.76,5780.05,385.41
2024-10-11,20271.97,5815.03,387.26
2024-10-14,20439.05,5859.85,386.83
2024-10-15,20159.83,5815.26,387.63
