HedgeDt,Product_Detail,Indicator,Budget,Part,Cap,Floor,Spec_Rate,Spread,Asset_Charge,Multiplier
2023-08-01,IUL23,INXHIM,0.0626,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-08-01,IUL23,INXLOM,0.0626,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-08-01,GIUL21,INDEX,0.0535,1.0,0.095,0.0,0.0,0.0,0.0,0.0
2023-08-01,GIUL21,INXFEE,0.0315,1.0,9.9999,0.0,0.0,0.09,0.0,0.0
2023-08-01,GIUL21,MARPRT,0.0221,2.2,9.9999,0.0,0.0,0.0,0.0,0.0
2023-08-01,GIUL21,NASIDX,0.0505,1.0,0.095,0.0,0.0,0.0,0.0,0.0
2023-08-01,IUL14NY,INDEX,0.0491,1.0,0.085,0.0,0.0,0.0,0.0,0.0
2023-08-01,IUL14NY,INX150,0.0294,1.0,0.065,0.015,0.0,0.0,0.0,0.0
2023-08-01,IUL14NY,INXFEE,0.0373,1.0,9.9999,0.0,0.0,0.0775,0.0,0.0
2023-08-01,IUL14NY,INXSPC,0.0506,1.0,9.9999,0.0,0.0695,0.0,0.0,0.0
2023-08-01,IUL14BNY,INDEX,0.0444,1.0,0.075,0.0,0.0,0.0,0.0,0.0
2023-08-01,IUL14BNY,INX150,0.0213,1.0,0.05,0.015,0.0,0.0,0.0,0.0
2023-08-01,IUL14BNY,INXFEE,0.0322,1.0,9.9999,0.0,0.0,0.0885,0.0,0.0
2023-08-01,IUL14BNY,INXSPC,0.0433,1.0,9.9999,0.0,0.0595,0.0,0.0,0.0
2023-09-01,IUL08,INDEX,0.0544,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2023-09-01,IUL14,INDEX,0.0544,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2023-09-01,IUL14,INX150,0.039,1.0,0.085,0.015,0.0,0.0,0.0,0.0
2023-09-01,IUL14,INXFEE,0.0451,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-09-01,IUL14,INXSPC,0.0531,1.0,9.9999,0.0,0.075,0.0,0.0,0.0
2023-09-01,IUL14B,INDEX,0.0425,1.0,0.075,0.0,0.0,0.0,0.0,0.0
2023-09-01,IUL14B,INX150,0.0264,1.0,0.06,0.015,0.0,0.0,0.0,0.0
2023-09-01,IUL14B,INXFEE,0.0318,1.0,9.9999,0.0,0.0,0.09,0.0,0.0
2023-09-01,IUL14B,INXSPC,0.0425,1.0,9.9999,0.0,0.06,0.0,0.0,0.0
2023-09-01,IUL19,INDEX,0.0544,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2023-09-01,IUL19,INXFEE,0.0451,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-09-01,IUL19,INXHIM,0.0634,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-09-01,IUL19,INXLOM,0.0634,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-09-01,IUL21,MARPRT,0.0222,2.4,9.9999,0.0,0.0,0.0,0.0,0.0
2023-09-01,IUL21,NASIDX,0.0541,1.0,0.105,0.0,0.0,0.0,0.0,0.0
2023-09-01,IUL21,INDEX,0.0565,1.0,0.105,0.0,0.0,0.0,0.0,0.0
2023-09-01,IUL21,INXFEE,0.0451,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-09-01,IUL21,INXHIM,0.0634,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-09-01,IUL21,INXLOM,0.0634,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-09-01,IUL23,MARPRT,0.0222,2.4,9.9999,0.0,0.0,0.0,0.0,0.0
2023-09-01,IUL23,NASIDX,0.0531,1.0,0.1025,0.0,0.0,0.0,0.0,0.0
2023-09-01,IUL23,INDEX,0.0555,1.0,0.1025,0.0,0.0,0.0,0.0,0.0
2023-09-01,IUL23,INXFEE,0.0451,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-09-01,IUL23,INXHIM,0.0634,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-09-01,IUL23,INXLOM,0.0634,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-09-01,GIUL21,INDEX,0.0521,1.0,0.095,0.0,0.0,0.0,0.0,0.0
