HedgeDate,Product_Detail,Indicator,Budget
1/2/2024,IUL21,INDEX,0.0554
1/2/2024,IUL21,INXFEE,0.0418
1/2/2024,IUL21,INXHIM,0.062
1/2/2024,IUL21,INXLOM,0.062
1/2/2024,IUL21,MARPRT,0.0222
1/2/2024,IUL21,NASIDX,0.0539
1/2/2024,IUL23,INDEX,0.0544
1/2/2024,IUL23,INXFEE,0.0418
1/2/2024,IUL23,INXHIM,0.062
1/2/2024,IUL23,INXLOM,0.062
1/2/2024,IUL23,MARPRT,0.0222
1/2/2024,IUL23,NASIDX,0.0528
2/1/2024,GIUL21,INDEX,0.0508
2/1/2024,GIUL21,INXFEE,0.0336
2/1/2024,GIUL21,MARPRT,0.0222
2/1/2024,GIUL21,NASIDX,0.0492
2/1/2024,IUL08,INDEX,0.0529
2/1/2024,IUL14,INDEX,0.0529
2/1/2024,IUL14,INX150,0.0379
2/1/2024,IUL14,INXFEE,0.0381
2/1/2024,IUL14,INXSPC,0.054
2/1/2024,IUL14B,INDEX,0.0418
2/1/2024,IUL14B,INX150,0.0259
2/1/2024,IUL14B,INXFEE,0.0336
2/1/2024,IUL14B,INXSPC,0.0432
2/1/2024,IUL14BNY,INDEX,0.0441
2/1/2024,IUL14BNY,INX150,0.0246
2/1/2024,IUL14BNY,INXFEE,0.0349
2/1/2024,IUL14BNY,INXSPC,0.041
2/1/2024,IUL14NY,INDEX,0.0476
2/1/2024,IUL14NY,INX150,0.0309
2/1/2024,IUL14NY,INXFEE,0.0392
2/1/2024,IUL14NY,INXSPC,0.0468
2/1/2024,IUL19,INDEX,0.0529
2/1/2024,IUL19,INXFEE,0.0381
2/1/2024,IUL19,INXHIM,0.0611
2/1/2024,IUL19,INXLOM,0.0611
2/1/2024,IUL21,INDEX,0.0549
2/1/2024,IUL21,INXFEE,0.0381
2/1/2024,IUL21,INXHIM,0.0611
2/1/2024,IUL21,INXLOM,0.0611
2/1/2024,IUL21,MARPRT,0.0222
2/1/2024,IUL21,NASIDX,0.0535
2/1/2024,IUL23,INDEX,0.054
2/1/2024,IUL23,INXFEE,0.0381
2/1/2024,IUL23,INXHIM,0.0611
2/1/2024,IUL23,INXLOM,0.0611
2/1/2024,IUL23,MARPRT,0.0222
2/1/2024,IUL23,NASIDX,0.0525
3/1/2024,GIUL21,INDEX,0.0497
3/1/2024,GIUL21,INXFEE,0.0303
3/1/2024,GIUL21,MARPRT,0.0224
3/1/2024,GIUL21,NASIDX,0.0488
3/1/2024,IUL08,INDEX,0.0517
3/1/2024,IUL14,INDEX,0.0517
3/1/2024,IUL14,INX150,0.037
3/1/2024,IUL14,INXFEE,0.0346
3/1/2024,IUL14,INXSPC,0.0537
3/1/2024,IUL14B,INDEX,0.041
3/1/2024,IUL14B,INX150,0.0254
3/1/2024,IUL14B,INXFEE,0.0303
3/1/2024,IUL14B,INXSPC,0.0429
3/1/2024,IUL14BNY,INDEX,0.0433
3/1/2024,IUL14BNY,INX150,0.0242
3/1/2024,IUL14BNY,INXFEE,0.0315
3/1/2024,IUL14BNY,INXSPC,0.0408
3/1/2024,IUL14NY,INDEX,0.0466
3/1/2024,IUL14NY,INX150,0.0303
3/1/2024,IUL14NY,INXFEE,0.0357
3/1/2024,IUL14NY,INXSPC,0.0465
